;; netPanzer Objects in tiles
;; Start Width Height
((11888 6 6)
 (11924 6 6)
 (11884 6 7)
 (11820 8 8)
 (11818 2 4)
 (11804 2 7)
 (11759 9 5)
 (11727 4 8)
 (11695 4 8)
 (11631 8 8)
 (11567 8 8)
 (11503 8 8)
 (11439 8 8)
 (11375 8 8)
 (11351 3 8)
 (11335 8 2)
 (11319 2 8)
 (11303 4 4)
 (11239 8 8)
 (11211 7 4)
 (11193 6 3)
 (11188 5 1)
 (11178 5 2)
 (11173 5 1)
 (11145 7 4)
 (11127 6 3)
 (11117 5 2)
 (11114 3 2)
 (11108 3 2)
 (11108 3 1)
 (11107 4 1)
 (11091 4 4)
 (11063 7 4)
 (11048 5 3)
 (11044 2 2)
 (11032 4 3)
 (11016 4 4)
 (11004 3 4)
 (10998 3 2)
 (10970 4 7)
 (10963 3 2)
 (10951 4 3)
 (10939 3 4)
 (10923 4 4)
 (10919 2 2)
 (10913 3 2)
 (10895 6 3)
 (10839 4 14)
 (10799 10 4)
 (10759 10 4)
 (10739 4 5)
 (10719 4 5)
 (10699 5 4)
 (10679 5 4)
 (10659 5 4)
 (10639 5 4)
 (10609 6 5)
 (10609 6 5)
 (10559 10 5)
 (10519 10 4)
 (10483 6 6)
 (10443 10 4)
 (10403 10 4)
(10428 5 1)
 (10418 5 2)
 (10403 5 3)
 (10373 6 5)
 (10337 6 6)
 (10287 10 5)
 (10247 10 4)
 (10197 10 5)
 (10157 4 10)
 (10117 10 4)
 (9541 32 18)
 (8541 40 25)
 (8525 4 4)
 (8509 4 4)
 (8493 4 4)
 (8477 4 4)
 (8461 4 4)
 (8445 4 4)
 (8409 6 6)
 (8373 6 6)
 (8313 6 10)
 (8273 4 10)
 (8201 8 9)
 (8145 8 7)
 (8113 4 8)
 (7719 27 14)
 (7489 23 10)
 (7069 30 14)
 (6817 14 18)
 (6579 14 17)
 (6369 21 10)
 (5484 22 20)
 (5218 19 14)
 (4914 16 19)
 (4644 15 18)
 (4380 22 12)
 (3974 29 14)
 (3651 19 17)
 (3192 27 17)
 (3192 27 17)
 (2472 30 24)
 (1812 30 22)
 (1152 30 22)
 (1072 10 8)
 (992 10 8)
 (928 8 8)
 (864 8 8)
 (800 8 8)
 (736 8 8)
 (720 4 4)
 (672 8 6)
 (624 8 6)
 (576 8 6)
 (496 10 8)
 (416 10 8)
 (352 8 8)
 (288 8 8)
 (224 8 8)
 (160 8 8)
 (144 4 4)
 (96 8 6)
 (48 8 6)
 (0 8 6))
